age,geocarb,filtered,unfiltered
490.0,1.4932531185920592,1.5777656540172649,1.9098923377091563
489.5,1.4917094554912655,1.5783080466971506,1.9128786432179257
489.0,1.4904563495633494,1.5798835947884122,1.9156498684069785
488.5,1.4896307366903716,1.582501556424579,1.9181267554664254
488.0,1.4892462102331245,1.5861125668944807,1.9202301057672688
487.5,1.4891992920042934,1.5906121969800637,1.9219286002155407
487.0,1.4893818788734892,1.59589388443949,1.9233251310251525
486.5,1.4896858677103206,1.6018510670309256,1.9245459296010514
486.0,1.4900031553843989,1.6083771825125328,1.925717227348185
485.5,1.4902256387653319,1.6153656686424762,1.9269652556715011
485.0,1.4902452147227305,1.6227077504635568,1.928416245975945
484.5,1.4899538118982716,1.6302437605652347,1.9301963884000723
484.0,1.4892855204661803,1.6377631390836267,1.9323771125773563
483.5,1.4882997078597964,1.6450531134394892,1.9348671347490207
483.0,1.4870789033491048,1.6519010204943188,1.9375450879549296
482.5,1.4857056362040915,1.6581037089056978,1.9402896052349479
482.0,1.4842624356947403,1.6634747725861816,1.9429793196289393
481.5,1.4828318310910373,1.6678295082950707,1.9454928641767695
481.0,1.481496351662967,1.6709832127916635,1.9477088719183029
480.5,1.4803385266805142,1.672751182835262,1.9495059758934035
480.0,1.479436560606823,1.6729714267435978,1.9507730518799082
479.5,1.4788171459258685,1.6717447012522864,1.9515209750245095
479.0,1.4784731450641377,1.6693406754751134,1.9518407425295496
478.5,1.4783968291974294,1.6660318067764368,1.9518247518971088
478.0,1.4785804695015419,1.6620905525206127,1.9515654006292669
477.5,1.4790163371522749,1.657789347727475,1.9511550862281037
477.0,1.4796967033254262,1.6531681588277243,1.950686206195699
476.5,1.4806126790829797,1.6474614996474326,1.950251158034133
476.0,1.4817404953844922,1.6397295595963162,1.9499420167104287
475.5,1.4830460769830933,1.6290325280840932,1.9498076628786167
475.0,1.4844951421565784,1.614430594520477,1.9498107468478414
474.5,1.4860534091827424,1.595053122387083,1.9499036769459548
474.0,1.4876865963393804,1.5722969486398428,1.9500388615008089
473.5,1.4893604219042869,1.5502813628618617,1.9501687088402562
473.0,1.4910403962308936,1.5330461635853552,1.9502456272921496
472.5,1.4926891522118841,1.5213012710539973,1.9502220251843412
472.0,1.4942672214203465,1.5133248995323123,1.9500503108446834
471.5,1.4957350875574205,1.5073398645233584,1.9496888968097694
471.0,1.4970532343242455,1.5015917093044986,1.949137827822664
470.5,1.4981821454219608,1.4951789851457358,1.9484147866484356
470.0,1.499082304551706,1.488290983001879,1.947537519560631
469.5,1.4997141954146203,1.481188170575844,1.9465237728328002
469.0,1.5000385108064613,1.4741310155705485,1.9453912927384924
468.5,1.5000602715818634,1.4673799856889078,1.9441578255512555
468.0,1.499883400349467,1.4611737523822617,1.9428411175446392
467.5,1.4996252017734242,1.4555824557343107,1.9414589149921928
467.0,1.4994029805178857,1.4505976853224958,1.940028964167465
466.5,1.4993340412470026,1.4462105908227085,1.9385713644569398
466.0,1.4995356886249267,1.44241232191084,1.9371162098717292
465.5,1.5001250619491036,1.43919402826278,1.9356962475128254
465.0,1.5011569443495703,1.4365468595544197,1.9343442245012243
464.5,1.5025303331839648,1.4344558984167004,1.9330928879579201
464.0,1.504120296730807,1.4328554837871648,1.9319749850039067
463.5,1.5058019032686156,1.4316546760243654,1.9310232627601795
463.0,1.5074502210759115,1.4307623506267606,1.9302704683477332
462.5,1.508940318431213,1.4300873830928094,1.9297473805615835
462.0,1.510147344599068,1.4295386489209694,1.9294469975981403
461.5,1.5109898509799593,1.4290250236096997,1.929328282304628
461.0,1.5115012165368769,1.4284553826574584,1.9293489808122164
460.5,1.5117335926996216,1.4277394220784758,1.929466839252072
460.0,1.5117391308979955,1.4268358333492732,1.9296396037553658
459.5,1.511569982561799,1.4257791158182145,1.9298250204532643
459.0,1.5112782991208342,1.4246102741769666,1.9299808354769354
458.5,1.510916232004902,1.4233703131171966,1.9300647949575487
458.0,1.5105359326438044,1.4221002373305711,1.9300346450262724
457.5,1.5101895524673428,1.4208410515087575,1.9298505983754766
457.0,1.5099288332335234,1.4196335060563885,1.9294966278041459
456.5,1.5097784007483375,1.4185001794962369,1.9289699846015766
456.0,1.5097193243845943,1.417433666375131,1.9282680651240227
455.5,1.5097287424261887,1.4164237571856786,1.9273882657277375
455.0,1.5097837931570157,1.4154602424204878,1.926327982768974
454.5,1.50986161486097,1.4145329125721675,1.9250846126039858
454.0,1.509939345821946,1.4136315581333256,1.923655551589027
453.5,1.509994124323839,1.4127458719322945,1.9220381960803496
453.0,1.510003088650543,1.4118572015906325,1.9202299424342093
452.5,1.5099509504014457,1.410932282625358,1.9182320245458586
452.0,1.5098659712962395,1.409936374852902,1.9160677439618077
451.5,1.5097919494467669,1.4088347380896968,1.9137682748057583
451.0,1.5097727021684326,1.407592632152174,1.9113648009322104
450.5,1.5098520467766416,1.4061753168567634,1.908888506195667
450.0,1.5100737195750793,1.4045482973037593,1.9063705744506265
449.5,1.5104725607334137,1.4027030189059995,1.903842189551591
449.0,1.511066599991724,1.4006794116150714,1.9013345353530615
448.5,1.5118719993219385,1.3985227202279646,1.898878373789111
448.0,1.5129049206959855,1.396278189541668,1.8964926643613758
447.5,1.514181526085792,1.3939910643531697,1.894183265399525
447.0,1.5157179774632867,1.3917065894594585,1.8919553526771513
446.5,1.5175304368003972,1.3894698477192484,1.8898141019678494
446.0,1.5196350660690519,1.3873042350075255,1.8877646890452118
445.5,1.522036046241513,1.3851898527015292,1.8858122896828338
445.0,1.5246595582434144,1.38310165988855,1.8839620796543077
